sst_gridpoint,lon,lat,water_temp
"[2183, 3569]",-111.86248959999999,40.1169684,73.83
"[2183, 3570]",-111.84449459999999,40.1169684,73.83
"[2184, 3569]",-111.86248959999999,40.1349634,74.19
"[2184, 3570]",-111.84449459999999,40.1349634,74.19
"[2184, 3571]",-111.82649959999999,40.1349634,74.19
"[2185, 3569]",-111.86248959999999,40.1529584,74.19
"[2185, 3570]",-111.84449459999999,40.1529584,74.19
"[2185, 3571]",-111.82649959999999,40.1529584,74.55
"[2185, 3572]",-111.80850459999999,40.1529584,74.55
"[2186, 3569]",-111.86248959999999,40.1709534,74.55
"[2186, 3570]",-111.84449459999999,40.1709534,74.55
"[2186, 3571]",-111.82649959999999,40.1709534,74.55
"[2186, 3572]",-111.80850459999999,40.1709534,74.55
"[2186, 3573]",-111.7905096,40.1709534,74.55
"[2186, 3574]",-111.7725146,40.1709534,74.55
"[2186, 3575]",-111.7545196,40.1709534,74.91
"[2186, 3576]",-111.7365246,40.1709534,74.91
"[2186, 3577]",-111.7185296,40.1709534,
"[2187, 3569]",-111.86248959999999,40.1889484,74.91
"[2187, 3570]",-111.84449459999999,40.1889484,74.91
"[2187, 3571]",-111.82649959999999,40.1889484,74.91
"[2187, 3572]",-111.80850459999999,40.1889484,74.91
"[2187, 3573]",-111.7905096,40.1889484,74.91
"[2187, 3574]",-111.7725146,40.1889484,74.91
"[2187, 3575]",-111.7545196,40.1889484,74.91
"[2187, 3576]",-111.7365246,40.1889484,74.91
"[2187, 3577]",-111.7185296,40.1889484,74.91
"[2188, 3570]",-111.84449459999999,40.2069434,
"[2188, 3571]",-111.82649959999999,40.2069434,74.91
"[2188, 3572]",-111.80850459999999,40.2069434,74.91
"[2188, 3573]",-111.7905096,40.2069434,74.91
"[2188, 3574]",-111.7725146,40.2069434,74.91
"[2188, 3575]",-111.7545196,40.2069434,74.91
"[2188, 3576]",-111.7365246,40.2069434,74.91
"[2188, 3577]",-111.7185296,40.2069434,74.91
"[2189, 3570]",-111.84449459999999,40.2249384,
"[2189, 3571]",-111.82649959999999,40.2249384,75.27
"[2189, 3572]",-111.80850459999999,40.2249384,75.27
"[2189, 3573]",-111.7905096,40.2249384,75.27
"[2189, 3574]",-111.7725146,40.2249384,74.91
"[2189, 3575]",-111.7545196,40.2249384,75.27
"[2189, 3576]",-111.7365246,40.2249384,74.91
"[2189, 3577]",-111.7185296,40.2249384,74.91
"[2190, 3572]",-111.80850459999999,40.2429334,75.27
"[2190, 3573]",-111.7905096,40.2429334,75.27
"[2190, 3574]",-111.7725146,40.2429334,75.27
"[2190, 3575]",-111.7545196,40.2429334,75.27
"[2190, 3576]",-111.7365246,40.2429334,75.27
"[2191, 3573]",-111.7905096,40.2609284,75.63
"[2191, 3574]",-111.7725146,40.2609284,75.63
"[2191, 3575]",-111.7545196,40.2609284,75.63
"[2192, 3573]",-111.7905096,40.2789234,75.99
"[2192, 3574]",-111.7725146,40.2789234,75.99
"[2192, 3575]",-111.7545196,40.2789234,75.99
"[2193, 3572]",-111.80850459999999,40.2969184,75.99
"[2193, 3574]",-111.7725146,40.2969184,76.35
"[2194, 3574]",-111.7725146,40.3149134,76.35
"[2195, 3572]",-111.80850459999999,40.3329084,75.99
"[2195, 3573]",-111.7905096,40.3329084,76.35
"[2196, 3570]",-111.84449459999999,40.3509034,75.63
"[2196, 3571]",-111.82649959999999,40.3509034,75.99
