sst_gridpoint,lon,lat,water_temp
"[2387, 5867]",-70.5099796,43.7879484,74.55
"[2388, 5866]",-70.5279746,43.8059434,
"[2388, 5867]",-70.5099796,43.8059434,74.19
"[2389, 5866]",-70.5279746,43.8239384,74.55
"[2389, 5867]",-70.5099796,43.8239384,74.55
"[2390, 5863]",-70.58195959999999,43.8419334,
"[2390, 5864]",-70.56396459999999,43.8419334,
"[2390, 5865]",-70.54596959999999,43.8419334,75.27
"[2390, 5867]",-70.5099796,43.8419334,74.91
"[2390, 5868]",-70.4919846,43.8419334,75.27
"[2391, 5863]",-70.58195959999999,43.8599284,75.27
"[2391, 5864]",-70.56396459999999,43.8599284,75.63
"[2391, 5865]",-70.54596959999999,43.8599284,75.63
"[2391, 5868]",-70.4919846,43.8599284,75.27
"[2391, 5869]",-70.47398959999998,43.8599284,75.27
"[2392, 5861]",-70.61794959999999,43.8779234,
"[2392, 5862]",-70.59995459999999,43.8779234,75.99
"[2392, 5863]",-70.58195959999999,43.8779234,75.63
"[2392, 5864]",-70.56396459999999,43.8779234,75.99
"[2392, 5865]",-70.54596959999999,43.8779234,75.99
"[2392, 5868]",-70.4919846,43.8779234,75.63
"[2392, 5869]",-70.47398959999998,43.8779234,75.27
"[2393, 5862]",-70.59995459999999,43.8959184,75.99
"[2393, 5863]",-70.58195959999999,43.8959184,75.99
"[2393, 5864]",-70.56396459999999,43.8959184,75.99
"[2393, 5865]",-70.54596959999999,43.8959184,76.35
"[2393, 5866]",-70.5279746,43.8959184,75.99
"[2394, 5863]",-70.58195959999999,43.9139134,75.99
"[2394, 5864]",-70.56396459999999,43.9139134,75.99
